SimulationPolicy	ACInventory	SRC	RCInventory	Period	AnalysisType	Response	DemandSignal	ResponseType
MaxUtilization	10	770200R00	4	PreSurge	Dynamic	0.431484142	SteadyState	Fill
MaxUtilization	10	770200R00	4	Surge	Dynamic	0.723484714	SteadyState	Fill
MaxUtilization	10	770200R00	4	PostSurge	Dynamic	0.717026122	SteadyState	Fill
MaxUtilization	10	770200R00	4	PreSurge	Dynamic	4	SteadyState	Surplus
MaxUtilization	10	770200R00	4	Surge	Dynamic	9	SteadyState	Surplus
MaxUtilization	10	770200R00	4	PostSurge	Dynamic	9	SteadyState	Surplus
MaxUtilization	10	770200R00	8	PreSurge	Dynamic	0.031483614	SteadyState	Fill
MaxUtilization	10	770200R00	8	Surge	Dynamic	0.15099631	SteadyState	Fill
MaxUtilization	10	770200R00	8	PostSurge	Dynamic	0.262475968	SteadyState	Fill
MaxUtilization	10	770200R00	8	PreSurge	Dynamic	8	SteadyState	Surplus
MaxUtilization	10	770200R00	8	Surge	Dynamic	9	SteadyState	Surplus
MaxUtilization	10	770200R00	8	PostSurge	Dynamic	2	SteadyState	Surplus
MaxUtilization	10	770200R00	12	PreSurge	Dynamic	0.097653221	SteadyState	Fill
MaxUtilization	10	770200R00	12	Surge	Dynamic	0.856767757	SteadyState	Fill
MaxUtilization	10	770200R00	12	PostSurge	Dynamic	0.797090182	SteadyState	Fill
MaxUtilization	10	770200R00	12	PreSurge	Dynamic	4	SteadyState	Surplus
MaxUtilization	10	770200R00	12	Surge	Dynamic	0	SteadyState	Surplus
MaxUtilization	10	770200R00	12	PostSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	10	770200R00	16	PreSurge	Dynamic	0.32091637	SteadyState	Fill
MaxUtilization	10	770200R00	16	Surge	Dynamic	0.195357618	SteadyState	Fill
MaxUtilization	10	770200R00	16	PostSurge	Dynamic	0.540739301	SteadyState	Fill
MaxUtilization	10	770200R00	16	PreSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	10	770200R00	16	Surge	Dynamic	1	SteadyState	Surplus
MaxUtilization	10	770200R00	16	PostSurge	Dynamic	4	SteadyState	Surplus
MaxUtilization	13	770200R00	4	PreSurge	Dynamic	0.506762494	SteadyState	Fill
MaxUtilization	13	770200R00	4	Surge	Dynamic	0.091071516	SteadyState	Fill
MaxUtilization	13	770200R00	4	PostSurge	Dynamic	0.917686669	SteadyState	Fill
MaxUtilization	13	770200R00	4	PreSurge	Dynamic	5	SteadyState	Surplus
MaxUtilization	13	770200R00	4	Surge	Dynamic	8	SteadyState	Surplus
MaxUtilization	13	770200R00	4	PostSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	13	770200R00	8	PreSurge	Dynamic	0.174979514	SteadyState	Fill
MaxUtilization	13	770200R00	8	Surge	Dynamic	0.889524118	SteadyState	Fill
MaxUtilization	13	770200R00	8	PostSurge	Dynamic	0.236886318	SteadyState	Fill
MaxUtilization	13	770200R00	8	PreSurge	Dynamic	5	SteadyState	Surplus
MaxUtilization	13	770200R00	8	Surge	Dynamic	9	SteadyState	Surplus
MaxUtilization	13	770200R00	8	PostSurge	Dynamic	8	SteadyState	Surplus
MaxUtilization	13	770200R00	12	PreSurge	Dynamic	0.993356446	SteadyState	Fill
MaxUtilization	13	770200R00	12	Surge	Dynamic	0.833227111	SteadyState	Fill
MaxUtilization	13	770200R00	12	PostSurge	Dynamic	0.245203042	SteadyState	Fill
MaxUtilization	13	770200R00	12	PreSurge	Dynamic	5	SteadyState	Surplus
MaxUtilization	13	770200R00	12	Surge	Dynamic	0	SteadyState	Surplus
MaxUtilization	13	770200R00	12	PostSurge	Dynamic	6	SteadyState	Surplus
MaxUtilization	13	770200R00	16	PreSurge	Dynamic	0.869682345	SteadyState	Fill
MaxUtilization	13	770200R00	16	Surge	Dynamic	0.49073068	SteadyState	Fill
MaxUtilization	13	770200R00	16	PostSurge	Dynamic	0.244652633	SteadyState	Fill
MaxUtilization	13	770200R00	16	PreSurge	Dynamic	0	SteadyState	Surplus
MaxUtilization	13	770200R00	16	Surge	Dynamic	2	SteadyState	Surplus
MaxUtilization	13	770200R00	16	PostSurge	Dynamic	9	SteadyState	Surplus
MaxUtilization	16	770200R00	4	PreSurge	Dynamic	0.444615084	SteadyState	Fill
MaxUtilization	16	770200R00	4	Surge	Dynamic	0.597695293	SteadyState	Fill
MaxUtilization	16	770200R00	4	PostSurge	Dynamic	0.84742399	SteadyState	Fill
MaxUtilization	16	770200R00	4	PreSurge	Dynamic	7	SteadyState	Surplus
MaxUtilization	16	770200R00	4	Surge	Dynamic	5	SteadyState	Surplus
MaxUtilization	16	770200R00	4	PostSurge	Dynamic	6	SteadyState	Surplus
MaxUtilization	16	770200R00	8	PreSurge	Dynamic	0.550232494	SteadyState	Fill
MaxUtilization	16	770200R00	8	Surge	Dynamic	0.034997766	SteadyState	Fill
MaxUtilization	16	770200R00	8	PostSurge	Dynamic	0.271092473	SteadyState	Fill
MaxUtilization	16	770200R00	8	PreSurge	Dynamic	0	SteadyState	Surplus
MaxUtilization	16	770200R00	8	Surge	Dynamic	8	SteadyState	Surplus
MaxUtilization	16	770200R00	8	PostSurge	Dynamic	6	SteadyState	Surplus
MaxUtilization	16	770200R00	12	PreSurge	Dynamic	0.066910282	SteadyState	Fill
MaxUtilization	16	770200R00	12	Surge	Dynamic	0.44174559	SteadyState	Fill
MaxUtilization	16	770200R00	12	PostSurge	Dynamic	0.508291703	SteadyState	Fill
MaxUtilization	16	770200R00	12	PreSurge	Dynamic	4	SteadyState	Surplus
